;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;100.0;8.8;2017-12-31T23:00:00;1.5;989.0;n;0.0;-57.21;983.6;-90.0;7.0;0.0;0.0;0.0;210.0;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2018-01-01T00:00:00;2.5;348.87;2017-12-31:23;7.0;0.0;100;1514761200
1;95.0;8.8;2018-01-01T00:00:00;1.5;990.0;n;0.0;-57.01;984.8;-90.0;6.8;0.0;0.0;0.0;220.0;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2018-01-01T01:00:00;7.5;14.57;2018-01-01:00;7.5;0.0;99;1514764800
2;93.0;8.8;2018-01-01T01:00:00;1.5;989.5;n;0.0;-53.23;984.3;-90.0;5.9;0.0;0.0;0.0;220.0;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2018-01-01T02:00:00;2.5;37.9;2018-01-01:01;7.0;0.1;97;1514768400
3;93.0;8.8;2018-01-01T02:00:00;1.5;988.9;n;0.0;-46.95;983.7;-90.0;5.9;0.0;0.0;0.0;210.0;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2018-01-01T03:00:00;2.5;57.14;2018-01-01:02;7.0;0.4;89;1514772000
4;92.0;9.2;2018-01-01T03:00:00;1.5;988.4;n;0.0;-39.24;983.2;-90.0;5.4;0.0;0.0;0.0;220.0;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};0.0;0.0;2018-01-01T04:00:00;1.9;72.87;2018-01-01:03;6.6;0.6;88;1514775600
5;93.0;12.0;2018-01-01T04:00:00;1.5;988.1;n;0.0;-30.89;982.9;-90.0;5.9;0.0;0.0;0.0;220.0;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};0.0;0.0;2018-01-01T05:00:00;1.8;86.32;2018-01-01:04;7.0;0.9;89;1514779200
6;93.0;15.6;2018-01-01T05:00:00;1.5;987.9;n;0.0;-22.4;982.7;-90.0;5.9;0.0;0.0;0.0;220.0;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2018-01-01T06:00:00;1.1;98.51;2018-01-01:05;7.0;0.4;80;1514782800
7;90.0;15.6;2018-01-01T06:00:00;5.0;987.6;n;0.0;-14.17;982.4;-90.0;4.6;0.0;0.0;0.0;220.0;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2018-01-01T07:00:00;-0.1;110.18;2018-01-01:06;6.1;0.5;79;1514786400
8;93.0;14.4;2018-01-01T07:00:00;1.5;988.1;n;0.0;-6.54;982.8;-90.0;4.0;0.0;0.0;0.0;220.0;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};0.0;0.0;2018-01-01T08:00:00;-1.4;121.87;2018-01-01:07;5.0;0.8;91;1514790000
9;93.0;13.6;2018-01-01T08:00:00;1.5;988.7;n;12.73;0.17;983.4;-67.5;5.0;0.0;0.7;0.499363;220.0;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};1.55;6.4;2018-01-01T09:00:00;0.1;133.95;2018-01-01:08;6.0;0.7;92;1514793600
10;90.0;13.6;2018-01-01T09:00:00;5.0;989.2;d;332.56;5.6;983.9;-45.0;4.5;0.0;0.8;22.5333;250.0;{'icon': 'r01d', 'code': 500, 'description': 'Light rain'};61.38;38.51;2018-01-01T10:00:00;0.1;146.65;2018-01-01:09;6.0;0.6;93;1514797200
11;93.0;14.4;2018-01-01T10:00:00;1.5;990.0;d;474.9;9.42;984.7;-22.5;4.0;0.0;0.9;45.1626;250.0;{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'};121.74;52.88;2018-01-01T11:00:00;-1.4;160.02;2018-01-01:10;5.0;0.4;90;1514800800
12;93.0;14.4;2018-01-01T11:00:00;1.5;990.7;d;529.12;11.34;985.4;0.0;4.0;0.0;1.3;104.547;250.0;{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'};154.5;58.89;2018-01-01T12:00:00;-1.4;173.91;2018-01-01:11;5.0;0.2;74;1514804400
13;82.0;14.4;2018-01-01T12:00:00;5.0;991.5;d;525.56;11.21;986.2;22.5;3.4;0.0;1.3;111.807;240.0;{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'};152.14;58.49;2018-01-01T13:00:00;0.2;187.97;2018-01-01:12;6.2;0.1;72;1514808000
14;87.0;13.6;2018-01-01T13:00:00;0.5;991.8;d;462.5;9.02;986.5;45.0;4.0;0.0;1.3;92.4249;240.0;{'icon': 'c03d', 'code': 803, 'description': 'Broken clouds'};115.13;51.55;2018-01-01T14:00:00;0.1;201.81;2018-01-01:13;6.0;0.1;66;1514811600
15;87.0;12.8;2018-01-01T14:00:00;5.0;992.1;d;303.08;4.97;986.8;67.5;4.0;0.0;1.0;36.4125;240.0;{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'};52.36;35.73;2018-01-01T15:00:00;0.3;215.1;2018-01-01:14;6.0;0.1;75;1514815200
16;88.0;12.0;2018-01-01T15:00:00;5.0;992.4;n;0.0;-0.64;987.1;90.0;4.0;0.0;0.0;0.0;240.0;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2018-01-01T16:00:00;0.2;227.72;2018-01-01:15;5.8;0.0;85;1514818800
17;89.0;11.6;2018-01-01T16:00:00;5.0;992.8;n;0.0;-7.49;987.5;-90.0;3.9;0.0;0.0;0.0;250.0;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2018-01-01T17:00:00;-0.8;239.73;2018-01-01:16;5.0;0.0;89;1514822400
