;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;94.0;16.4;2018-12-31T23:00:00;0.5;1011.15;n;0.0;-55.63;1010.75;-90.0;6.8;0.0;0.0;0.0;245;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};0.0;0.0;2019-01-01T00:00:00;7.7;350.18;2018-12-31:23;7.7;0.0;68;1546297200
1;93.0;17.6;2019-01-01T00:00:00;1.5;1010.05;n;0.0;-55.33;1009.7;;6.8;0.0;0.0;0.0;240;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T01:00:00;8.0;14.79;2019-01-01:00;8.0;0.1;80;1546300800
2;88.0;19.2;2019-01-01T01:00:00;0.5;1008.95;n;0.0;-51.74;1008.5;;7.8;0.0;0.0;0.0;265;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};0.0;0.0;2019-01-01T02:00:00;9.2;37.31;2019-01-01:01;9.2;0.1;50;1546304400
3;69.0;20.0;2019-01-01T02:00:00;1.5;1008.0;n;0.0;-45.8;1007.6;;7.0;0.0;0.0;0.0;275;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T03:00:00;7.4;56.28;2019-01-01:02;7.4;0.0;11;1546308000
4;74.0;21.2;2019-01-01T03:00:00;1.5;1006.85;n;0.0;-38.47;1006.3;;3.7;0.0;0.0;0.0;270;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T04:00:00;0.1;72.1;2019-01-01:03;6.9;0.0;10;1546311600
5;77.0;22.0;2019-01-01T04:00:00;1.0;1005.25;n;0.0;-30.49;1005.1;;2.9;0.0;0.0;0.0;270;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T05:00:00;-0.2;85.78;2019-01-01:04;6.8;0.0;25;1546315200
6;78.0;22.4;2019-01-01T05:00:00;1.0;1004.7;n;0.0;-22.36;1004.0;;2.9;0.0;0.0;0.0;275;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T06:00:00;-0.2;98.25;2019-01-01:05;6.8;0.0;35;1546318800
7;76.0;22.4;2019-01-01T06:00:00;1.0;1004.7;n;0.0;-14.48;1005.0;;2.9;0.0;0.0;0.0;280;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T07:00:00;-0.1;110.19;2019-01-01:06;6.8;0.0;31;1546322400
8;76.0;22.4;2019-01-01T07:00:00;1.0;1004.4;n;0.0;-7.17;1004.4;;2.9;0.0;0.0;0.0;285;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T08:00:00;-0.4;122.11;2019-01-01:07;6.7;0.0;38;1546326000
9;77.0;22.8;2019-01-01T08:00:00;1.0;1004.7;n;0.0;-0.78;1005.0;;2.9;0.0;0.0;0.0;285;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T09:00:00;-0.6;134.37;2019-01-01:08;6.5;0.0;30;1546329600
