;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;92.0;14.8;2018-12-31T23:00:00;1.5;1014.8;n;0.0;-56.58;1007.6;-90.0;5.8;0.0;0.0;0.0;255;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T00:00:00;7.8;350.55;2018-12-31:23;7.8;0.1;100;1546297200
1;91.5;15.6;2019-01-01T00:00:00;1.5;1013.7;n;0.0;-56.17;1006.5;;6.0;0.0;0.0;0.0;265;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T01:00:00;7.8;15.74;2019-01-01:00;7.8;0.1;95;1546300800
2;91.0;16.0;2019-01-01T01:00:00;1.5;1012.45;n;0.0;-52.35;1005.3;;6.1;0.0;0.0;0.0;265;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T02:00:00;8.0;38.55;2019-01-01:01;8.0;0.2;89;1546304400
3;90.5;16.8;2019-01-01T02:00:00;1.5;1011.1;n;0.0;-46.13;1003.95;;6.3;0.0;0.0;0.0;275;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T03:00:00;8.1;57.51;2019-01-01:02;8.1;0.2;79;1546308000
4;81.5;17.6;2019-01-01T03:00:00;0.5;1010.1;n;0.0;-38.55;1002.95;;6.9;0.0;0.0;0.0;285;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};0.0;0.0;2019-01-01T04:00:00;7.8;73.16;2019-01-01:03;7.8;0.1;51;1546311600
5;73.5;18.4;2019-01-01T04:00:00;1.5;1009.8;n;0.0;-30.35;1002.65;;3.7;0.0;0.0;0.0;280;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T05:00:00;0.0;86.64;2019-01-01:04;6.5;0.0;13;1546315200
6;78.0;18.8;2019-01-01T05:00:00;1.5;1008.9;n;0.0;-22.02;1001.75;;3.1;0.0;0.0;0.0;285;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T06:00:00;-0.1;98.91;2019-01-01:05;6.5;0.0;12;1546318800
7;79.5;19.2;2019-01-01T06:00:00;1.0;1008.45;n;0.0;-13.96;1001.25;;3.0;0.0;0.0;0.0;285;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T07:00:00;-0.8;110.7;2019-01-01:06;6.0;0.0;36;1546322400
8;76.5;20.0;2019-01-01T07:00:00;1.0;1008.1;n;0.0;-6.51;1000.9;;2.5;0.0;0.0;0.0;290;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T08:00:00;-1.0;122.5;2019-01-01:07;6.0;0.0;38;1546326000
9;73.5;20.8;2019-01-01T08:00:00;1.0;1008.5;n;6.9;0.01;1001.3;;2.0;0.0;1.5;0.946573;295;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.96;5.06;2019-01-01T09:00:00;-0.9;134.68;2019-01-01:08;6.1;0.0;31;1546329600
10;73.0;21.6;2019-01-01T09:00:00;1.0;1008.6;d;316.18;5.26;1001.4;;1.6;0.0;1.8;56.0298;295;{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'};56.36;37.02;2019-01-01T10:00:00;-1.3;147.46;2019-01-01:09;5.9;0.0;24;1546333200
11;71.5;22.0;2019-01-01T10:00:00;1.5;1008.65;d;457.92;8.9;1001.45;;1.8;0.0;2.1;112.856;295;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};112.99;51.16;2019-01-01T11:00:00;-1.2;160.87;2019-01-01:10;6.0;0.0;15;1546336800
12;68.0;22.4;2019-01-01T11:00:00;1.5;1008.25;d;510.42;10.66;1001.05;;0.9;0.0;2.3;142.586;300;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};142.72;56.88;2019-01-01T12:00:00;-1.8;174.75;2019-01-01:11;5.7;0.0;14;1546340400
13;64.5;22.4;2019-01-01T12:00:00;1.5;1007.25;d;503.36;10.41;1000.05;;0.7;0.0;2.2;138.129;295;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};138.38;56.09;2019-01-01T13:00:00;-2.1;188.78;2019-01-01:12;5.4;0.0;17;1546344000
14;62.0;22.4;2019-01-01T13:00:00;1.5;1007.0;d;433.24;8.16;999.8;;0.4;0.0;2.1;100.707;295;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};100.89;48.57;2019-01-01T14:00:00;-2.8;202.57;2019-01-01:13;5.0;0.0;17;1546347600
15;63.0;22.4;2019-01-01T14:00:00;1.0;1006.75;n;257.1;4.09;999.55;;0.5;0.0;1.6;39.6476;295;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};40.21;31.53;2019-01-01T15:00:00;-2.9;215.84;2019-01-01:14;4.8;0.0;31;1546351200
