;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;90.5;14.0;2018-12-31T23:00:00;1.5;1016.35;n;0.0;-57.14;1011.3;-90.0;5.8;0.0;0.0;0.0;260;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T00:00:00;1.7;354.36;2018-12-31:23;7.2;0.1;100;1546297200
1;91.0;14.8;2019-01-01T00:00:00;1.5;1014.7;n;0.0;-56.16;1009.65;;5.8;0.0;0.0;0.0;250;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T01:00:00;1.5;19.69;2019-01-01:00;7.2;0.2;100;1546300800
2;92.5;15.6;2019-01-01T01:00:00;1.5;1013.55;n;0.0;-51.81;1008.5;;5.9;0.0;0.0;0.0;250;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T02:00:00;1.3;42.07;2019-01-01:01;7.1;0.3;93;1546304400
3;92.5;16.4;2019-01-01T02:00:00;1.5;1011.8;n;0.0;-45.23;1006.75;;5.9;0.0;0.0;0.0;250;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T03:00:00;7.3;60.46;2019-01-01:02;7.3;0.5;87;1546308000
4;92.5;17.2;2019-01-01T03:00:00;1.5;1009.8;n;0.0;-37.41;1004.75;;6.4;0.0;0.0;0.0;250;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T04:00:00;7.4;75.65;2019-01-01:03;7.4;0.5;79;1546311600
5;92.0;18.4;2019-01-01T04:00:00;1.0;1007.65;n;0.0;-29.07;1002.65;;6.3;0.0;0.0;0.0;250;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T05:00:00;7.4;88.81;2019-01-01:04;7.4;0.1;32;1546315200
6;77.0;18.8;2019-01-01T05:00:00;1.5;1007.2;n;0.0;-20.68;1002.2;;6.3;0.0;0.0;0.0;280;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T06:00:00;0.3;100.9;2019-01-01:05;6.8;0.0;13;1546318800
7;75.5;19.2;2019-01-01T06:00:00;1.5;1006.5;n;0.0;-12.61;1001.5;;4.5;0.0;0.0;0.0;275;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T07:00:00;-0.3;112.59;2019-01-01:06;6.3;0.0;16;1546322400
8;77.0;20.0;2019-01-01T07:00:00;0.5;1006.15;n;0.0;-5.2;1001.1;;4.1;0.0;0.0;0.0;280;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};0.0;0.0;2019-01-01T08:00:00;-0.9;124.38;2019-01-01:07;6.0;0.0;41;1546326000
9;75.5;20.8;2019-01-01T08:00:00;0.5;1005.45;n;75.05;1.21;1000.4;;3.8;0.0;1.3;7.48975;275;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};8.2;14.53;2019-01-01T09:00:00;-1.1;136.61;2019-01-01:08;6.0;0.0;53;1546329600
