;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;90.0;14.4;2018-12-31T23:00:00;5.0;1018.45;n;0.0;-57.44;1014.25;67.5;6.8;0.0;0.0;0.0;245;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T00:00:00;7.7;350.7;2018-12-31:23;7.7;0.1;100;1546297200
1;91.0;15.6;2019-01-01T00:00:00;1.5;1017.05;n;0.0;-56.95;1012.85;;6.8;0.0;0.0;0.0;245;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T01:00:00;7.8;16.45;2019-01-01:00;7.8;0.1;100;1546300800
2;91.0;16.8;2019-01-01T01:00:00;1.5;1016.05;n;0.0;-52.93;1011.85;;6.8;0.0;0.0;0.0;250;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T02:00:00;8.0;39.56;2019-01-01:01;8.0;0.1;95;1546304400
3;91.0;17.2;2019-01-01T02:00:00;1.5;1014.8;n;0.0;-46.48;1010.6;;6.8;0.0;0.0;0.0;255;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T03:00:00;8.1;58.51;2019-01-01:02;8.1;0.2;90;1546308000
4;92.0;17.2;2019-01-01T03:00:00;1.5;1013.3;n;0.0;-38.68;1009.1;;6.8;0.0;0.0;0.0;255;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T04:00:00;8.1;74.02;2019-01-01:03;8.1;0.1;75;1546311600
5;86.0;18.0;2019-01-01T04:00:00;0.5;1012.1;n;0.0;-30.27;1007.95;;6.8;0.0;0.0;0.0;270;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};0.0;0.0;2019-01-01T05:00:00;8.4;87.32;2019-01-01:04;8.4;0.0;58;1546315200
6;70.0;18.8;2019-01-01T05:00:00;1.0;1011.9;n;0.0;-21.77;1007.7;;6.8;0.0;0.0;0.0;280;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T06:00:00;7.5;99.42;2019-01-01:05;7.5;0.0;22;1546318800
7;76.0;18.8;2019-01-01T06:00:00;1.5;1011.15;n;0.0;-13.55;1006.95;;6.8;0.0;0.0;0.0;270;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T07:00:00;0.4;111.06;2019-01-01:06;6.8;0.0;12;1546322400
8;78.0;19.2;2019-01-01T07:00:00;1.0;1011.65;n;0.0;-5.95;1007.45;;6.8;0.0;0.0;0.0;280;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T08:00:00;0.1;122.75;2019-01-01:07;6.7;0.0;24;1546326000
9;76.0;20.0;2019-01-01T08:00:00;1.0;1011.65;n;41.6;0.7;1007.45;;6.8;0.0;1.6;4.4257;285;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};4.46;10.75;2019-01-01T09:00:00;-0.3;134.86;2019-01-01:08;6.5;0.0;26;1546329600
10;74.0;20.8;2019-01-01T09:00:00;1.5;1011.6;d;352.17;6.04;1007.4;;6.8;0.0;1.9;67.7768;285;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};67.9;40.37;2019-01-01T10:00:00;-0.3;147.6;2019-01-01:09;6.5;0.0;17;1546333200
11;72.0;22.0;2019-01-01T10:00:00;1.5;1011.45;d;484.76;9.74;1007.25;;6.8;0.0;2.2;127.057;295;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};127.15;53.93;2019-01-01T11:00:00;-0.4;161.02;2019-01-01:10;6.5;0.0;13;1546336800
12;69.0;22.8;2019-01-01T11:00:00;1.5;1011.0;d;533.9;11.52;1006.8;;6.8;0.0;2.4;157.525;290;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};157.64;59.41;2019-01-01T12:00:00;-0.8;174.94;2019-01-01:11;6.3;0.0;13;1546340400
13;68.0;23.2;2019-01-01T12:00:00;1.5;1010.55;d;526.38;11.23;1006.35;;6.8;0.0;2.3;152.457;290;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};152.6;58.55;2019-01-01T13:00:00;-1.3;189.01;2019-01-01:12;6.0;0.0;14;1546344000
14;65.0;22.8;2019-01-01T13:00:00;1.5;1010.0;d;458.56;8.9;1005.8;;6.8;0.0;2.1;112.906;285;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};113.04;51.11;2019-01-01T14:00:00;-2.9;202.82;2019-01-01:13;4.9;0.0;15;1546347600
15;64.0;23.2;2019-01-01T14:00:00;1.5;1009.55;n;289.95;4.71;1005.35;;6.8;0.0;1.9;48.5846;285;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};48.62;34.49;2019-01-01T15:00:00;-3.5;216.06;2019-01-01:14;4.5;0.0;13;1546351200
16;64.0;22.4;2019-01-01T15:00:00;0.5;1009.2;n;0.0;-1.03;1005.0;;6.8;0.0;0.0;0.0;295;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};0.0;0.0;2019-01-01T16:00:00;-3.1;228.62;2019-01-01:15;4.8;0.0;49;1546354800
17;65.0;20.8;2019-01-01T16:00:00;0.5;1010.45;n;0.0;-7.97;1006.25;;6.8;0.0;0.0;0.0;310;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};0.0;0.0;2019-01-01T17:00:00;-2.2;240.58;2019-01-01:16;5.2;0.0;52;1546358400
18;68.0;19.2;2019-01-01T17:00:00;5.0;1011.6;n;0.0;-15.78;1007.4;;6.8;0.0;0.0;0.0;310;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T18:00:00;-2.5;252.22;2019-01-01:17;4.8;0.0;71;1546362000
19;69.0;18.4;2019-01-01T18:00:00;5.0;1012.6;n;0.0;-24.11;1008.4;;6.8;0.0;0.0;0.0;310;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T19:00:00;-2.9;263.94;2019-01-01:18;4.5;0.0;73;1546365600
20;68.0;18.4;2019-01-01T19:00:00;0.5;1013.5;n;0.0;-32.62;1009.3;;6.8;0.0;0.0;0.0;310;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};0.0;0.0;2019-01-01T20:00:00;-3.0;276.3;2019-01-01:19;4.4;0.0;56;1546369200
21;68.0;18.8;2019-01-01T20:00:00;1.0;1014.6;n;0.0;-40.91;1010.4;;6.8;0.0;0.0;0.0;310;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T21:00:00;-3.2;290.11;2019-01-01:20;4.3;0.0;22;1546372800
22;73.0;18.8;2019-01-01T21:00:00;1.5;1015.6;n;0.0;-48.42;1011.35;;6.8;0.0;0.0;0.0;310;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T22:00:00;-3.4;306.47;2019-01-01:21;4.1;0.0;5;1546376400
23;69.0;18.4;2019-01-01T22:00:00;1.5;1016.5;n;0.0;-54.29;1012.25;;6.8;0.0;0.0;0.0;310;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T23:00:00;-3.4;326.57;2019-01-01:22;4.0;0.0;8;1546380000
24;61.0;18.4;2019-01-01T23:00:00;1.5;1017.75;n;0.0;-57.41;1013.5;;6.8;0.0;0.0;0.0;325;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T00:00:00;-3.0;350.66;2019-01-01:23;4.3;0.0;16;1546383600
25;57.0;19.2;2019-01-02T00:00:00;1.5;1018.8;n;0.0;-56.89;1014.55;;6.8;0.0;0.0;0.0;325;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T01:00:00;-2.5;16.23;2019-01-02:00;4.8;0.0;20;1546387200
26;53.0;19.2;2019-01-02T01:00:00;1.0;1020.15;n;0.0;-52.9;1015.9;;6.8;0.0;0.0;0.0;330;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-02T02:00:00;-2.5;39.34;2019-01-02:01;4.8;0.0;25;1546390800
27;52.0;18.8;2019-01-02T02:00:00;1.0;1021.5;n;0.0;-46.47;1017.2;;6.8;0.0;0.0;0.0;330;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-02T03:00:00;-4.0;58.31;2019-01-02:02;3.7;0.0;22;1546394400
28;54.0;18.0;2019-01-02T03:00:00;1.5;1022.6;n;0.0;-38.68;1018.3;;6.8;0.0;0.0;0.0;335;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T04:00:00;-4.7;73.84;2019-01-02:03;3.1;0.0;12;1546398000
29;60.0;17.6;2019-01-02T04:00:00;1.5;1023.5;n;0.0;-30.27;1019.2;;6.8;0.0;0.0;0.0;340;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T05:00:00;-4.0;87.16;2019-01-02:04;3.5;0.0;8;1546401600
30;61.0;17.2;2019-01-02T05:00:00;1.5;1024.8;n;0.0;-21.77;1020.5;;6.8;0.0;0.0;0.0;345;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T06:00:00;-3.9;99.28;2019-01-02:05;3.6;0.0;9;1546405200
