;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;96;8.8;2017-12-31T23:00:00;1.5;989.05;n;0;-56.58;979.25;-90;4.4;0;0;0;162;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T00:00:00;-0.1;350.55;2017-12-31:23;5;0;100;1514761200
1;96.5;8.4;2018-01-01T00:00:00;1.5;989.2;n;0;-56.17;982.15;-90;5.2;0;0;0;180;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T01:00:00;0.9;15.74;2018-01-01:00;5.7;0;100;1514764800
2;97;8.4;2018-01-01T01:00:00;1.5;988.75;n;0;-52.35;981.7;-90;5.5;0;0;0;195;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T02:00:00;1.3;38.55;2018-01-01:01;6;0.1;100;1514768400
3;96.5;8.4;2018-01-01T02:00:00;1.5;988.35;n;0;-46.13;981.3;-90;5.7;0;0;0;205;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T03:00:00;1.5;57.51;2018-01-01:02;6.2;0.3;99;1514772000
4;93;8.8;2018-01-01T03:00:00;1.5;987.9;n;0;-38.55;980.85;-90;4.5;0;0;0;215;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T04:00:00;0.7;73.16;2018-01-01:03;5.6;0.5;93;1514775600
5;93;9.2;2018-01-01T04:00:00;1.5;986.95;n;0;-30.35;979.9;-90;4;0;0;0;210;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};0;0;2018-01-01T05:00:00;-0.1;86.64;2018-01-01:04;5.1;1;87;1514779200
6;93;10.8;2018-01-01T05:00:00;1.5;986.45;n;0;-22.02;979.4;-90;4.1;0;0;0;225;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};0;0;2018-01-01T06:00:00;-0.5;98.91;2018-01-01:05;5.1;1.1;89;1514782800
7;95.5;12.8;2018-01-01T06:00:00;1.5;986.4;n;0;-13.96;979.35;-90;4.3;0;0;0;205;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T07:00:00;-1.1;110.7;2018-01-01:06;5;0.4;87;1514786400
8;92;13.2;2018-01-01T07:00:00;1.5;986.35;n;0;-6.51;979.3;-90;4.4;0;0;0;215;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T08:00:00;-0.4;122.5;2018-01-01:07;5.6;0.4;89;1514790000
9;92.5;13.2;2018-01-01T08:00:00;1.5;987.05;n;6.9;0.01;980;-67.5;3.8;0;0.7;0.259919;230;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};0.96;5.06;2018-01-01T09:00:00;-1.4;134.68;2018-01-01:08;4.8;0.6;94;1514793600
10;93;12.4;2018-01-01T09:00:00;1.5;987.2;d;316.18;5.26;980.15;-45;3.9;0;0.7;10.6262;230;{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'};56.36;37.02;2018-01-01T10:00:00;-1.2;147.46;2018-01-01:09;4.8;0.4;97;1514797200
