;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;92.5;7.6;2017-12-31T23:00:00;1.5;991.25;n;0;-57.14;988;-90;5.2;0;0;0;151;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T00:00:00;2.1;354.36;2017-12-31:23;6.4;0;100;1514761200
1;97.5;7.6;2018-01-01T00:00:00;1.5;991.85;n;0;-56.16;986.9;-90;6.6;0;0;0;190;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T01:00:00;2.8;19.69;2018-01-01:00;7;0;100;1514764800
2;97.5;7.6;2018-01-01T01:00:00;1.5;991.05;n;0;-51.81;986.1;-90;6.5;0;0;0;195;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T02:00:00;2.8;42.07;2018-01-01:01;6.9;0;100;1514768400
3;97.5;8;2018-01-01T02:00:00;1.5;990.65;n;0;-45.23;985.7;-90;6.5;0;0;0;170;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T03:00:00;2.6;60.46;2018-01-01:02;6.8;0.1;100;1514772000
4;98.5;8;2018-01-01T03:00:00;1.5;990.25;n;0;-37.41;985.3;-90;6.8;0;0;0;190;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T04:00:00;2.8;75.65;2018-01-01:03;7;0.2;100;1514775600
5;97.5;8;2018-01-01T04:00:00;1.5;989.7;n;0;-29.07;984.8;-90;6.7;0;0;0;225;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T05:00:00;2.8;88.81;2018-01-01:04;7;0.3;96;1514779200
6;97;8.8;2018-01-01T05:00:00;1.5;989;n;0;-20.68;984.05;-90;6.3;0;0;0;210;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T06:00:00;2.3;100.9;2018-01-01:05;6.8;0.2;92;1514782800
7;96;11.2;2018-01-01T06:00:00;1.5;989.3;n;0;-12.61;984.35;-90;6.2;0;0;0;215;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T07:00:00;1.7;112.59;2018-01-01:06;6.8;0.3;84;1514786400
8;92;13.6;2018-01-01T07:00:00;1.5;989.45;n;0;-5.2;984.5;-90;5.6;0;0;0;220;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T08:00:00;1.2;124.38;2018-01-01:07;6.8;0.1;81;1514790000
9;91;14.8;2018-01-01T08:00:00;1.5;989.6;n;75.05;1.21;984.65;-67.5;4.9;0;0.9;4.88878;220;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};8.2;14.53;2018-01-01T09:00:00;0.2;136.61;2018-01-01:08;6.3;0.1;79;1514793600
10;94;15.2;2018-01-01T09:00:00;1.5;989.6;d;361.83;6.28;984.65;-45;5;0;0.9;34.4298;225;{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'};71.42;41.36;2018-01-01T10:00:00;-0.4;149.47;2018-01-01:09;5.8;0.3;85;1514797200
11;92;14.8;2018-01-01T10:00:00;1.5;989.9;d;482.5;9.68;984.95;-22.5;4.8;0;0.9;37.4164;225;{'icon': 'r01d', 'code': 500, 'description': 'Light rain'};126.07;53.75;2018-01-01T11:00:00;-0.2;162.97;2018-01-01:10;6;0.8;93;1514800800
12;89;14.4;2018-01-01T11:00:00;5;989.95;d;523.98;11.16;985;0;4.3;0;0.9;44.6143;230;{'icon': 'r01d', 'code': 500, 'description': 'Light rain'};151.25;58.36;2018-01-01T12:00:00;0;176.91;2018-01-01:11;6;0.9;96;1514804400
13;91.5;15.2;2018-01-01T12:00:00;1.5;990.1;d;508.45;10.58;985.15;22.5;4.5;0;0.9;34.4965;240;{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'};141.36;56.61;2018-01-01T13:00:00;-0.5;190.95;2018-01-01:12;5.8;0.5;95;1514808000
14;90;15.2;2018-01-01T13:00:00;5;991.05;d;428.19;8.01;986.05;45;3.5;0;0.9;40.5857;240;{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'};98.46;48.01;2018-01-01T14:00:00;-1.6;204.68;2018-01-01:13;5;0.2;91;1514811600
15;83.5;14.4;2018-01-01T14:00:00;5;991.35;n;231.88;3.63;986.4;67.5;3.1;0;0.9;20.7224;240;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};34.29;29.2;2018-01-01T15:00:00;-0.5;217.84;2018-01-01:14;5.7;0.1;81;1514815200
16;84.5;13.6;2018-01-01T15:00:00;5;992.1;n;0;-2.23;987.15;-90;3;0;0;0;235;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T16:00:00;-0.2;230.34;2018-01-01:15;5.8;0;84;1514818800
