;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;100;8.8;2017-12-31T23:00:00;1.5;989;n;0;-57.21;983.6;-90;7;0;0;0;210;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T00:00:00;2.5;348.87;2017-12-31:23;7;0;100;1514761200
1;95;8.8;2018-01-01T00:00:00;1.5;990;n;0;-57.01;984.8;-90;6.8;0;0;0;220;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T01:00:00;7.5;14.57;2018-01-01:00;7.5;0;99;1514764800
2;93;8.8;2018-01-01T01:00:00;1.5;989.5;n;0;-53.23;984.3;-90;5.9;0;0;0;220;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T02:00:00;2.5;37.9;2018-01-01:01;7;0.1;97;1514768400
3;93;8.8;2018-01-01T02:00:00;1.5;988.9;n;0;-46.95;983.7;-90;5.9;0;0;0;210;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T03:00:00;2.5;57.14;2018-01-01:02;7;0.4;89;1514772000
4;92;9.2;2018-01-01T03:00:00;1.5;988.4;n;0;-39.24;983.2;-90;5.4;0;0;0;220;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};0;0;2018-01-01T04:00:00;1.9;72.87;2018-01-01:03;6.6;0.6;88;1514775600
5;93;12;2018-01-01T04:00:00;1.5;988.1;n;0;-30.89;982.9;-90;5.9;0;0;0;220;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};0;0;2018-01-01T05:00:00;1.8;86.32;2018-01-01:04;7;0.9;89;1514779200
6;93;15.6;2018-01-01T05:00:00;1.5;987.9;n;0;-22.4;982.7;-90;5.9;0;0;0;220;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T06:00:00;1.1;98.51;2018-01-01:05;7;0.4;80;1514782800
7;90;15.6;2018-01-01T06:00:00;5;987.6;n;0;-14.17;982.4;-90;4.6;0;0;0;220;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T07:00:00;-0.1;110.18;2018-01-01:06;6.1;0.5;79;1514786400
8;93;14.4;2018-01-01T07:00:00;1.5;988.1;n;0;-6.54;982.8;-90;4;0;0;0;220;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};0;0;2018-01-01T08:00:00;-1.4;121.87;2018-01-01:07;5;0.8;91;1514790000
9;93;13.6;2018-01-01T08:00:00;1.5;988.7;n;12.73;0.17;983.4;-67.5;5;0;0.7;0.499363;220;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};1.55;6.4;2018-01-01T09:00:00;0.1;133.95;2018-01-01:08;6;0.7;92;1514793600
