;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;99;8.8;2017-12-31T23:00:00;1.5;989.6;n;0;-57.44;989;-90;6.5;0;0;0;240;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T00:00:00;2.1;350.7;2017-12-31:23;6.7;0;100;1514761200
1;94.5;8.8;2018-01-01T00:00:00;1.5;990.55;n;0;-56.95;986.45;-90;6.4;0;0;0;185;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T01:00:00;2.8;16.45;2018-01-01:00;7.2;0;100;1514764800
2;94;9.2;2018-01-01T01:00:00;1.5;990.6;n;0;-52.93;986.5;-90;6.2;0;0;0;215;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T02:00:00;2.6;39.56;2018-01-01:01;7.1;0;100;1514768400
3;93.5;9.6;2018-01-01T02:00:00;1.5;990.25;n;0;-46.48;986.15;-90;5.7;0;0;0;205;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T03:00:00;1.9;58.51;2018-01-01:02;6.7;0.1;97;1514772000
4;94.5;9.6;2018-01-01T03:00:00;1.5;989.5;n;0;-38.68;985.4;-90;5.7;0;0;0;195;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T04:00:00;1.7;74.02;2018-01-01:03;6.5;0.1;84;1514775600
5;93;11.2;2018-01-01T04:00:00;1.5;989.05;n;0;-30.27;984.95;-90;5.5;0;0;0;215;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T05:00:00;1.4;87.32;2018-01-01:04;6.6;0.3;85;1514779200
6;91.5;14.8;2018-01-01T05:00:00;1.5;988.75;n;0;-21.77;984.65;-90;5.6;0;0;0;215;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T06:00:00;1.1;99.42;2018-01-01:05;6.9;0.1;72;1514782800
7;90;16.8;2018-01-01T06:00:00;5;988.75;n;0;-13.55;984.65;-90;5.4;0;0;0;215;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T07:00:00;0.8;111.06;2018-01-01:06;7;0.1;74;1514786400
8;91.5;16.8;2018-01-01T07:00:00;1.5;988.85;n;0;-5.95;984.7;-90;4.1;0;0;0;220;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0;0;2018-01-01T08:00:00;-1.4;122.75;2018-01-01:07;5.3;0.3;78;1514790000
9;92;15.6;2018-01-01T08:00:00;1.5;989.5;n;41.6;0.7;985.35;-67.5;4.1;0;0.7;1.65455;220;{'icon': 'r01n', 'code': 500, 'description': 'Light rain'};4.46;10.75;2018-01-01T09:00:00;-1.2;134.86;2018-01-01:08;5.3;0.6;90;1514793600
10;92;14.8;2018-01-01T09:00:00;1.5;989.4;d;352.17;6.04;985.25;-45;4.4;0;0.8;25.1893;220;{'icon': 'r01d', 'code': 500, 'description': 'Light rain'};67.9;40.37;2018-01-01T10:00:00;-0.7;147.6;2018-01-01:09;5.6;0.6;90;1514797200
11;92;15.2;2018-01-01T10:00:00;1.5;990.45;d;484.76;9.74;986.3;-22.5;4.5;0;0.9;37.737;235;{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'};127.15;53.93;2018-01-01T11:00:00;-0.6;161.02;2018-01-01:10;5.7;0.5;93;1514800800
