;rh;wind_spd;timestamp_utc;vis;slp;pod;dni;elev_angle;pres;h_angle;dewpt;snow;uv;solar_rad;wind_dir;weather;ghi;dhi;timestamp_local;app_temp;azimuth;datetime;temp;precip;clouds;ts
0;92;14.8;2018-12-31T23:00:00;1.5;1019.0;n;0.0;-57.21;1013.4;-90.0;6.0;0.0;0.0;0.0;260;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T00:00:00;8.0;348.87;2018-12-31:23;8.0;0.1;100;1546297200
1;92;15.6;2019-01-01T00:00:00;1.5;1018.0;n;0.0;-57.01;1012.6;;6.0;0.0;0.0;0.0;260;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T01:00:00;8.1;14.57;2019-01-01:00;8.1;0.1;99;1546300800
2;92;16.0;2019-01-01T01:00:00;1.5;1017.0;n;0.0;-53.23;;;6.0;0.0;0.0;0.0;260;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T02:00:00;8.0;37.9;2019-01-01:01;8.0;0.1;94;1546304400
3;93;16.4;2019-01-01T02:00:00;1.5;1016.0;n;0.0;-46.95;;;6.8;0.0;0.0;0.0;260;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T03:00:00;8.0;57.14;2019-01-01:02;8.0;0.2;90;1546308000
4;93;16.8;2019-01-01T03:00:00;0.5;1014.8;n;0.0;-39.24;1009.4;;6.8;0.0;0.0;0.0;260;{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'};0.0;0.0;2019-01-01T04:00:00;8.1;72.87;2019-01-01:03;8.1;0.1;61;1546311600
5;83;17.6;2019-01-01T04:00:00;1.0;1014.5;n;0.0;-30.89;1009.2;;8.0;0.0;0.0;0.0;290;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T05:00:00;9.0;86.32;2019-01-01:04;9.0;0.0;35;1546315200
6;73;18.4;2019-01-01T05:00:00;1.5;1014.2;n;0.0;-22.4;1008.8;;3.7;0.0;0.0;0.0;280;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T06:00:00;0.7;98.51;2019-01-01:05;7.0;0.0;20;1546318800
7;82;18.4;2019-01-01T06:00:00;1.0;1013.9;n;0.0;-14.17;1008.5;;2.9;0.0;0.0;0.0;290;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T07:00:00;0.7;110.18;2019-01-01:06;7.0;0.0;22;1546322400
8;78;19.2;2019-01-01T07:00:00;1.0;1013.9;n;0.0;-6.54;1008.5;;2.9;0.0;0.0;0.0;290;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T08:00:00;0.6;121.87;2019-01-01:07;7.0;0.0;36;1546326000
9;78;19.2;2019-01-01T08:00:00;1.5;1013.9;n;12.73;0.17;1008.5;;2.9;0.0;1.7;1.54511;300;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};1.55;6.4;2019-01-01T09:00:00;0.6;133.95;2019-01-01:08;7.0;0.1;20;1546329600
10;77;19.6;2019-01-01T09:00:00;1.5;1013.9;d;332.56;5.6;1008.5;;1.9;0.0;1.9;61.2175;300;{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'};61.38;38.51;2019-01-01T10:00:00;-0.1;146.65;2019-01-01:09;6.6;0.0;19;1546333200
11;75;20.4;2019-01-01T10:00:00;1.0;1013.4;d;474.9;9.42;1008.0;;1.9;0.0;2.0;121.027;300;{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'};121.74;52.88;2019-01-01T11:00:00;0.4;160.02;2019-01-01:10;7.0;0.0;24;1546336800
12;72;21.2;2019-01-01T11:00:00;1.0;1013.0;d;529.12;11.34;1007.6;;3.0;0.0;2.1;153.312;300;{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'};154.5;58.89;2019-01-01T12:00:00;0.3;173.91;2019-01-01:11;7.0;0.0;26;1546340400
13;69;20.8;2019-01-01T12:00:00;1.0;1012.5;d;525.56;11.21;1007.1;;0.8;0.0;2.0;149.227;300;{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'};152.14;58.49;2019-01-01T13:00:00;-2.5;187.97;2019-01-01:12;5.0;0.0;34;1546344000
14;69;21.2;2019-01-01T13:00:00;1.0;1012.5;d;462.5;9.02;1007.1;;0.8;0.0;1.9;113.52;300;{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'};115.13;51.55;2019-01-01T14:00:00;-1.1;201.81;2019-01-01:13;6.0;0.0;31;1546347600
15;64;21.6;2019-01-01T14:00:00;1.0;1012.4;d;303.08;4.97;1007.0;;-0.1;0.0;1.8;52.0533;300;{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'};52.36;35.73;2019-01-01T15:00:00;-2.6;215.1;2019-01-01:14;5.0;0.0;24;1546351200
16;66;21.6;2019-01-01T15:00:00;1.0;1012.4;n;0.0;-0.64;1007.0;;0.8;0.0;0.0;0.0;300;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T16:00:00;-3.0;227.72;2019-01-01:15;4.7;0.0;38;1546354800
17;66;20.8;2019-01-01T16:00:00;5.0;1013.4;n;0.0;-7.49;1008.0;;0.0;0.0;0.0;0.0;310;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T17:00:00;-2.5;239.73;2019-01-01:16;5.0;0.0;73;1546358400
18;62;19.2;2019-01-01T17:00:00;5.0;1014.4;n;0.0;-15.22;1009.0;;-2.1;0.0;0.0;0.0;320;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T18:00:00;-2.2;251.4;2019-01-01:17;5.0;0.0;78;1546362000
19;62;18.4;2019-01-01T18:00:00;5.0;1015.4;n;0.0;-23.5;1010.0;;-2.1;0.0;0.0;0.0;320;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T19:00:00;-3.5;263.11;2019-01-01:18;4.0;0.0;79;1546365600
20;69;17.2;2019-01-01T19:00:00;5.0;1016.3;n;0.0;-31.99;1010.9;;-1.3;0.0;0.0;0.0;320;{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'};0.0;0.0;2019-01-01T20:00:00;-1.9;275.43;2019-01-01:19;5.0;0.0;74;1546369200
21;72;16.8;2019-01-01T20:00:00;1.0;1017.3;n;0.0;-40.28;1011.9;;-1.0;0.0;0.0;0.0;320;{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'};0.0;0.0;2019-01-01T21:00:00;-1.9;289.12;2019-01-01:20;5.0;0.0;23;1546372800
22;74;16.8;2019-01-01T21:00:00;1.5;1018.2;n;0.0;-47.84;1012.8;;-1.3;0.0;0.0;0.0;320;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T22:00:00;-3.0;305.26;2019-01-01:21;4.2;0.0;8;1546376400
23;78;16.4;2019-01-01T22:00:00;1.5;1019.3;n;0.0;-53.84;1013.8;;0.0;0.0;0.0;0.0;320;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-01T23:00:00;-3.2;325.04;2019-01-01:22;4.0;0.0;9;1546380000
24;67;16.4;2019-01-01T23:00:00;1.5;1020.5;n;0.0;-57.19;1015.0;;-1.3;0.0;0.0;0.0;330;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T00:00:00;-3.2;348.83;2019-01-01:23;4.0;0.0;8;1546383600
25;67;16.4;2019-01-02T00:00:00;1.5;1021.6;n;0.0;-56.94;1016.1;;-2.3;0.0;0.0;0.0;330;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T01:00:00;-2.5;14.35;2019-01-02:00;4.5;0.0;5;1546387200
26;70;15.6;2019-01-02T01:00:00;1.5;1022.7;n;0.0;-53.19;1017.2;;-2.3;0.0;0.0;0.0;330;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T02:00:00;-3.0;37.68;2019-01-02:01;4.0;0.0;3;1546390800
27;64;15.2;2019-01-02T02:00:00;1.5;1023.8;n;0.0;-46.93;1018.3;;-2.3;0.0;0.0;0.0;340;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T03:00:00;-2.9;56.94;2019-01-02:02;4.0;0.0;4;1546394400
28;58;14.8;2019-01-02T03:00:00;1.5;1024.9;n;0.0;-39.24;1019.4;;-2.3;0.0;0.0;0.0;340;{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'};0.0;0.0;2019-01-02T04:00:00;-3.0;72.7;2019-01-02:03;3.9;0.0;4;1546398000
